51.7,96.5,206.0,127.0,125.0,41.3,389.0,3.3,45.4,396.0,27.5,217.0,50.0,434.0,351.0,210.0,231.0,327.0,37.9,406.0,195.0
124.0,227.0,206.0,127.0,133.0,75.8,75.8,48.2,43.7,82.7,6.8,216.0,50.0,141.0,70.5,190.0,227.0,169.0,62.0,337.0,197.0
84.3,3.4,65.5,130.0,125.0,10.3,72.4,90.2,45.4,79.3,10.0,186.0,46.8,120.0,13.7,207.0,6.8,82.7,9.6,162.0,195.0
78.1,0.0,213.0,122.0,146.0,9.7,120.0,95.1,37.5,106.0,37.5,30.0,53.1,468.0,25.0,200.0,156.0,547.0,9.7,53.1,205.0
77.7,3.4,205.0,130.0,128.0,24.3,141.0,109.0,42.4,186.0,9.3,13.3,53.1,65.6,9.3,157.0,37.9,137.0,7.5,112.0,202.0
75.0,6.8,207.0,127.0,131.0,9.3,110.0,104.0,39.3,148.0,9.7,17.2,43.7,183.0,21.8,202.0,6.4,65.6,10.0,78.7,205.0
80.9,0.0,200.0,130.0,118.0,7.1,217.0,102.0,50.0,175.0,10.0,3.2,50.0,153.0,15.6,205.0,16.6,87.5,7.5,75.0,195.0
65.8,3.3,212.0,108.0,121.0,9.3,200.0,80.4,41.1,193.0,7.5,3.3,43.7,41.3,6.2,204.0,6.6,62.5,12.5,193.0,192.0
81.2,0.0,207.0,130.0,121.0,7.3,206.0,85.3,48.4,176.0,7.5,0.0,50.0,24.1,9.3,197.0,0.0,106.0,7.5,184.0,205.0
65.8,24.1,203.0,112.0,121.0,10.0,294.0,87.8,50.0,65.0,10.0,17.2,50.0,38.7,6.2,200.0,10.0,271.0,10.0,96.8,202.0
96.8,0.0,207.0,117.0,134.0,10.0,103.0,102.0,42.4,52.5,7.5,3.3,50.0,34.3,31.2,202.0,3.4,124.0,10.0,56.2,200.0
92.6,0.0,210.0,122.0,124.0,9.3,87.5,85.3,50.0,56.2,5.0,6.4,50.0,37.5,9.3,210.0,6.4,128.0,10.0,87.5,202.0
58.5,10.0,204.0,112.0,150.0,7.5,56.2,73.1,43.7,53.1,7.5,10.0,53.1,119.0,6.2,207.0,10.3,109.0,6.2,40.6,202.0
87.8,6.8,200.0,132.0,131.0,10.0,53.1,92.6,42.4,75.0,7.3,0.0,53.1,84.3,15.6,205.0,3.4,103.0,7.5,40.6,205.0
87.8,17.2,197.0,156.0,128.0,7.3,50.0,100.0,40.6,261.0,9.7,3.1,53.1,34.3,12.5,202.0,3.2,112.0,7.5,30.3,163.0
75.6,6.2,195.0,125.0,125.0,10.0,53.1,78.0,43.7,93.7,7.5,3.4,50.0,10.3,15.6,197.0,3.3,106.0,7.5,40.6,200.0
85.3,3.3,205.0,110.0,134.0,7.5,50.0,82.9,53.1,65.6,7.5,3.2,53.1,24.1,9.6,200.0,3.2,100.0,10.0,37.5,200.0
80.4,12.9,195.0,128.0,115.0,9.7,53.1,95.1,42.4,71.8,7.5,3.4,50.0,35.0,12.5,205.0,3.1,96.8,10.0,37.5,192.0
85.3,10.3,205.0,127.0,137.0,7.5,75.0,85.7,48.4,56.2,7.5,6.8,50.0,34.1,12.1,192.0,0.0,93.7,7.5,31.2,202.0
112.0,13.3,200.0,125.0,134.0,7.5,68.7,68.2,45.4,53.1,10.0,3.1,50.0,31.7,7.5,206.0,30.0,109.0,7.5,39.3,207.0
87.8,13.3,197.0,122.0,130.0,7.3,48.4,73.1,48.4,53.1,7.3,3.4,53.1,37.5,10.0,205.0,93.3,93.7,12.5,42.4,202.0
