trial1,trial2,trial3
26.6,41.3,30
20,37.9,50
44.8,10.3,48.2
40,26.6,41.3
34.4,26.6,41.9
23.3,27.5,38.7
41.3,26.6,41.3
33.3,17.2,41.3
16.6,24.1,56.6
44.8,26.6,30
33.3,31,26.4
20.6,10.3,44.8
20.6,34.4,40
41.9,31,40
41.9,45.1,36.6
36.6,35.4,60
48.2,48.2,43.3
38.7,41.3,44.8
46.6,43.3,37.9
50,43.3,38.7
50,40.6,51.7
63.3,48.2,38.7
51.7,51.7,29
46.6,46.6,40
53.3,50,41.3
62,46.6,41.3
48.2,41.3,60
44.8,54.8,41.9
46.6,38.7,38.7
55.1,40,45.1
43.3,36.6,58.6
43.3,55.1,41.3
44.8,48.2,44.8
48.2,48.2,38.7
58.6,41.3,41.3
44.8,45.1,38.7
37.9,44.8,48.2
43.3,44.8,43.7
48.2,58,43.3
48.2,38.7,40
33.3,29,38.7
50,32.2,41.3
41.9,40,43.3
40,41.3,40
48.2,44.8,38.7
36.6,48.2,44.8
37.9,43.3,48.2
48.2,44.8,41.3
51.7,37.9,40
44.8,68.9,38.7
36.6,36.6,41.3
55.1,41.3,43.3
40,45.1,41.3
29,36.6,41.9
48.2,41.3,46.6
43.3,43.3,38.7
35.4,38.7,53.3
43.3,33.3,44.8
41.9,40,41.3
56.6,32.2,40
40,48.2,48.2
45.1,33.3,41.9
35.4,36.6,41.3
35.4,36.6,41.9
50,43.3,38.7
40,31,40
43.3,40,41.3
36.6,46.6,56.6
46.6,40,44.8
50,46.6,40
31,51.7,40
50,41.9,48.2
50,38.7,43.3
36.6,35.4,40
44.8,56.6,38.7
40,36.6,44.8
32.2,43.3,44.8
41.9,35.4,46.6
29,40,29
46.6,41.3,28.1
48.2,35.4,44.8
40,44.8,32.2
30,37.5,33.3
33.3,43.3,40
43.3,35.4,40
41.3,62,38.7
40,29,31
35.4,36.6,41.3
43.3,35.4,35.4
41.3,36.6,48.2
38.7,36.6,32.2
50,30,38.7
40,55.1,38.7
32.2,38.7,35.4
33.3,29,48.2
31,29,29
30,41.3,31
37.9,40,46.6
41.3,41.3,36.6
38.7,43.3,26.6
38.7,41.9,34.4
31,40,37.9
41.9,40,60
54.8,35.4,36.6
40,30,28.1
40,32.2,40
38.7,44.8,40
29,37.5,36.6
31,43.3,31
33.3,38.7,43.3
61.2,35.4,37.9
30,29,44.8
35.4,30,38.7
41.3,33.3,33.3
40,30.3,36.6
40,36.6,31.2
33.3,60,46.6
55.1,35.4,35.4
43.3,29,30
43.3,44.8,30
33.3,43.3,40
43.3,40,34.4
40,37.9,31
40,53.3,40
41.9,41.3,40
30,35.4,40.6
28.1,38.7,60
37.5,62,30
41.3,36.6,31
46.6,24.2,34.4
29,48.2,48.2
30,48.2,37.9
29,40,41.3
35.4,40,38.7
60,60,20
53.3,50,26.6
43.3,43.3,16.6
44.8,41.3,37.9
44.8,56.6,22.5
44.8,38.7,22.5
40,41.3,26.6
38.7,41.3,41.3
62,41.9,27.5
40,38.7,25.8
37.5,40,22.5
44.8,40,24.1
44.8,44.8,18.1
40,40,37.9
37.5,46.6,16.6
38.7,48.2,48.2
41.3,40,30
40,37.5,19.3
40,40,50
38.7,51.7,26.6
43.3,40,30
40,41.9,41.3
41.3,34.3,30
40,38.7,21.2
40,41.3,24.1
43.3,40,25.8
44.8,36.6,26.6
41.3,58,37.9
38.7,43.3,23.3
50,44.8,25.8
43.3,41.3,26.6
41.1,56.6,26.6
43.3,41.3,46.6
38.7,46.6,25.8
40,37.5,31
38.7,41.9,30
41.9,41.9,25.8
43.3,53.3,46.6
38.7,44.8,30
38.7,40,29
51.6,44.8,38.7
43.3,40,25.8
44.8,43.3,33.3
44.8,36.3,43.3
44.8,44.8,26.6
40,41.3,29
40,62,41.3
40,37.5,23.3
43.3,40,30
44.8,40,23.3
44.8,37.5,30
58.6,41.9,44.8
41.3,44.8,28.1
48.2,34.4,48.2
38.7,44.8,26.6
39.3,40,44.8
41.3,25.8,36.3
32.2,45.1,45.1
46.8,41.3,50
30,41.3,43.3
30,36.6,51.7
30,36.6,41.3
37.9,40.6,41.3
38.7,33.3,48.2
33.3,28.1,47
38.7,29,51.7
36.6,30,40
38.7,37.9,43.3
33.3,55.1,51.7
31,38.7,44.8
44.8,36.6,41.9
29,44.8,33.3
29,48.2,50
34.4,37.9,44.8
37.5,37.5,43.3
35.4,40,40
25.8,26.6,41.9
38.7,37.9,43.3
32.2,44.8,41.3
30,35.4,46.6
30,36.6,44.8
25.8,32.2,41.3
60,54.8,43.3
38.7,44.8,44.8
41.9,41.3,40
31,27.2,43.3
33.3,37.9,46.6
40,35.4,35.4
43.3,36.6,44.8
32.2,56.6,41.3
31,32.2,40
34.4,25.8,41.3
54.8,35.4,41.3
48.2,31,44.8
25,30.3,40
41.9,34.4,40
41.3,68.9,41.3
38.7,29,44.8
41.3,35.2,40
36.6,40,55.1
36.6,37.9,40
38.7,26.6,43.3
44.8,46.6,40
40,53.1,58.6
29,38.7,40
37.9,37.9,41.3
58.6,38.7,38.7
44.8,38.7,38.7
32.2,40,44.8
27.5,27.5,24.1
37.9,20,20.6
37.9,33.3,25.8
26.6,32.2,22.5
31,22.5,16.6
19.3,44.8,41.3
