Honest-Barcode-Text-Handheld-NonHeadless-CPU,Honest-Barcode-Text-Handheld-NonHeadless-MEM,Mal-Barcode-Text-Handheld-NonHeadless-CPU,Mal-Barcode-Text-Handheld-NonHeadless-MEM,Honest-Barcode-Text-Headless-CPU,Honest-Barcode-Text-Headless-MEM,Mal-Barcode-Text-Headless-CPU,Mal-Barcode-Text-Headless-MEM,Honest-Barcode-Text-Handheld-Headless-CPU,Honest-Barcode-Text-Handheld-Headless-MEM,Mal-Barcode-Text-Handheld-Headless-CPU,Mal-Barcode-Text-Handheld-Headless-MEM
128,1.3,244,1.9,23.3,1.6,124,1.1,33.3,1.8,206,3.3
112,1.3,232,1.5,37.9,1.9,167,1.1,51.6,2,220,3.6
124,1.3,260,2,22.5,1.7,190,2.6,43.3,1.8,241,3.7
132,1.3,244,1.8,41.3,1.6,193,2.2,62,2,170,3.8
128,1.3,256,1.6,56.6,1.9,193,2.2,35.2,1.8,203,3.7
128,1.3,236,1.7,26.6,1.8,196,2,29,1.6,226,3.7
108,1.3,232,1.4,32.2,1.7,190,1.8,40,1.9,219,3.5
128,1.3,244,2,34.4,1.5,193,1.3,33.3,1.6,220,3.7
120,1.3,244,2,24.1,1.8,179,2,24.1,1.9,173,4
108,1.3,248,2,23.3,1.7,172,1.5,20,1.7,216,4.1
116,1.3,244,1.8,16.6,1.6,187,1.3,37.9,1.9,212,4.3
120,1.3,248,1.9,48.2,1.9,193,1.2,25,1.7,174,4.3
132,1.3,216,1.8,31,1.7,196,1.1,41.9,2,223,4.1
136,1.3,252,1.9,15.6,1.6,186,1.1,45.1,1.8,223,4.1
120,1.3,232,1.8,16.1,1.5,200,1.1,55.1,2,234,4.4
128,1.3,172,1.6,12.9,1.8,200,1.1,48.2,1.8,225,4.9
116,1.3,168,1.6,27.5,1.7,176,1.1,48.2,2,215,5.1
112,1.3,188,1.5,23.3,1.5,177,1.1,46.6,1.8,190,5
128,1.3,172,1.5,41.3,1.8,190,1.1,50,2,212,4.6
116,1.3,188,1.7,23.3,1.7,186,1.1,48.2,1.7,250,4.4
120,1.4,172,1.7,41.3,1.5,213,1.4,48.2,2,206,4.5
120,1.4,176,1.6,20.6,1.8,187,2.3,48.2,1.8,248,4.2
116,1.4,160,1.6,36.6,1.7,200,2.6,48.2,2,234,4.4
116,1.4,184,1.5,33.3,1.6,210,1.7,16.6,1.9,231,5.5
116,1.4,164,1.5,35.4,1.9,224,2.1,25.8,1.7,231,5.3
116,1.4,156,1.7,36.6,1.8,233,2.9,33.3,2,226,5.1
116,1.4,196,1.7,26.6,1.6,290,2.5,37.9,1.8,219,5.1
120,1.4,148,1.8,16.1,1.5,406,2.6,41.3,1.6,222,5.1
120,1.4,176,1.7,31,1.8,266,2.7,33.3,1.9,231,4.8
112,1.4,184,1.6,20.6,1.6,382,2.9,24.1,1.7,175,4.9
112,1.4,172,1.6,12.9,1.5,225,3.3,51.6,2,231,5.1
112,2,188,1.6,20,1.8,263,3,20.6,1.8,248,5.7
116,1.9,188,1.6,31,1.7,258,3.7,31,1.7,203,5.7
116,1.8,216,1.7,22.5,1.5,332,3.5,31,1.9,196,5.7
112,1.6,160,1.5,50,1.8,363,3.8,20.6,1.8,240,5.9
