trial1,trial2,trial3
144,110,120
124,117,120
136,134,136
126,131,120
131,131,130
131,113,124
120,119,131
134,141,127
119,126,106
138,121,134
127,120,113
117,131,120
117,116,131
151,110,117
116,120,116
112,123,124
109,126,120
140,113,113
132,140,113
141,127,127
117,143,136
120,120,113
113,109,110
126,131,116
123,124,110
126,112,122
109,109,120
141,113,103
120,133,124
133,141,140
116,148,120
129,131,110
117,124,113
112,106,106
123,116,113
119,103,117
116,113,110
137,112,109
134,113,110
110,124,116
100,119,127
134,120,127
141,113,131
136,123,110
140,124,106
113,125,103
131,150,119
127,113,103
137,124,110
110,144,113
117,136,116
116,103,106
134,131,131
144,130,112
134,131,126
113,117,113
103,124,131
141,120,113
129,120,137
146,137,112
127,134,120
133,112,120
103,117,120
120,125,124
116,117,127
110,120,120
134,110,115
127,116,116
125,110,120
136,131,113
117,131,116
116,130,134
148,119,127
158,110,106
164,117,119
164,136,113
163,116,127
153,100,117
141,112,137
172,134,113
164,123,113
176,116,137
170,113,110
151,120,103
146,113,113
168,120,148
173,103,148
186,110,106
189,121,110
176,134,113
129,131,124
160,131,109
182,133,113
175,113,131
163,103,106
186,140,193
175,134,189
175,120,144
179,136,161
175,148,148
179,173,142
182,179,186
186,151,138
179,180,141
182,150,165
156,160,141
145,151,166
190,158,186
180,155,175
153,168,141
179,189,182
186,164,138
182,146,161
168,176,140
146,173,151
132,176,158
153,153,179
173,170,151
182,193,170
170,182,173
189,161,173
129,179,179
141,140,183
148,174,189
153,179,160
165,175,173
175,180,179
189,133,189
173,174,176
200,183,173
146,173,186
163,158,165
193,183,182
166,173,166
166,183,164
132,132,158
148,176,153
129,180,143
182,156,141
164,172,168
179,141,129
173,163,158
166,180,146
179,180,129
135,153,180
146,189,176
161,189,186
186,163,189
179,148,193
163,155,175
162,148,136
132,135,163
166,148,196
165,183,135
156,163,163
160,148,129
148,174,140
193,136,141
164,133,172
180,136,179
182,131,143
206,172,133
174,146,186
210,153,125
186,164,148
196,182,155
182,133,158
173,143,170
161,141,131
176,135,176
186,173,179
170,182,160
187,166,155
172,140,174
176,160,166
193,158,155
175,172,158
183,145,158
172,174,182
190,140,173
172,135,180
165,186,180
196,162,166
168,161,168
179,180,175
151,154,196
186,154,196
170,155,186
166,155,186
183,186,186
172,162,200
180,164,189
170,170,183
164,176,170
196,183,180
158,172,179
172,158,170
183,189,179
170,172,206
190,166,173
175,183,186
176,179,192
183,179,173
158,165,196
186,176,186
172,168,173
175,151,176
196,170,168
161,166,164
159,186,162
196,172,166
179,154,165
186,182,200
163,168,164
162,170,175
182,176,166
176,174,193
175,164,176
179,161,168
151,178,172
183,170,172
170,179,183
183,193,175
193,180,166
200,206,162
216,172,177
210,175,180
189,182,200
237,189,166
200,179,193
206,196,206
190,183,161
186,183,180
190,180,182
206,172,179
183,177,189
203,175,168
193,183,156
206,183,159
210,175,179
217,166,200
203,189,175
183,167,164
200,186,182
200,167,196
196,166,186
186,182,210
189,189,216
200,179,217
190,159,217
224,172,193
213,175,210
189,170,186
176,206,210
193,166,213
217,210,193
183,196,196
176,210,182
220,186,196
212,210,187
206,217,200
203,196,220
203,177,200
213,193,196
210,206,206
213,217,186
177,156,216
203,206,209
213,203,187
196,206,220
190,224,200
153,206,200
135,200,212
136,227,203
143,210,213
172,203,213
170,183,171
131,203,180
153,210,203
148,217,196
170,190,180
175,213,216
155,210,203
172,206,200
143,200,217
165,213,217
186,210,200
160,183,193
165,187,223
155,190,206
165,187,224
153,179,227
148,213,196
155,200,206
163,193,178
186,210,143
166,224,136
179,190,183
176,203,141
189,226,163
176,183,140
183,200,137
148,206,134
158,206,145
140,164,162
136,173,160
138,190,160
158,137,155
187,158,158
180,151,162
186,172,156
163,168,155
140,150,170
133,165,143
172,182,143
141,182,153
140,179,145
160,170,158
148,143,175
158,167,180
148,166,186
136,132,186
168,150,186
153,187,135
153,135,153
183,175,168
179,189,143
175,135,182
176,179,114
174,177,125
131,175,155
150,187,182
155,136,153
151,150,155
173,179,143
170,121,179
165,155,172
156,177,158
158,143,183
148,160,153
163,166,170
175,170,162
175,182,203
206,125,148
173,162,138
166,138,180
158,164,163
132,148,140
156,146,162
164,160,151
182,179,165
170,173,175
193,148,135
145,168,163
155,135,167
177,141,158
164,164,182
154,158,146
246,136,172
277,165,153
280,193,173
286,148,135
243,163,173
227,125,182
280,176,182
265,168,143
235,174,141
276,186,163
251,175,140
258,175,179
266,186,163
235,166,138
251,137,162
300,160,168
246,180,176
221,140,170
238,156,150
225,151,182
253,132,241
246,141,260
243,136,224
245,144,264
275,141,254
272,141,275
254,160,243
270,143,246
282,173,258
238,165,227
258,164,270
238,176,237
253,150,239
273,130,279
232,121,251
260,133,263
276,132,212
251,160,243
241,150,262
235,140,251
244,122,245
233,241,248
213,286,256
231,289,260
238,265,283
231,250,258
231,264,241
246,263,270
244,279,303
237,279,248
275,238,268
220,243,254
233,276,243
216,248,282
237,258,261
216,231,283
113,259,235
148,251,236
136,246,251
137,300,254
134,262,246
133,293,235
120,246,230
136,258,232
140,248,130
133,251,135
141,282,167
144,260,144
144,274,148
116,246,170
141,251,129
160,253,160
123,234,123
141,268,116
146,241,124
130,266,144
136,256,140
130,286,151
136,260,140
138,240,110
125,256,113
172,240,127
127,243,144
133,216,151
136,258,151
122,230,112
138,235,116
158,248,133
168,262,116
148,246,119
96.7,137,132
132,151,113
137,120,134
129,131,133
153,113,125
143,130,122
126,122,133
129,140,132
109,127,130
110,136,120
137,126,148
144,110,134
153,122,156
110,150,117
132,132,131
123,123,125
120,141,162
148,109,144
146,133,106
136,110,90.3
126,120,146
148,145,150
106,106,110
178,123,144
155,133,127
125,125,100
148,120,136
129,137,144
120,133,141
160,124,135
126,143,130
133,143,158
127,148,106
130,106,120
126,116,122
112,120,157
158,112,100
136,151,112
87.5,135,158
119,158,116
113,93.5,120
103,140,130
131,137,168
133,133,112
150,124,153
153,124,117
141,154,132
148,137,124
153,137,112
120,110,134
130,127,148
123,129,117
141,177,103
150,96.7,122
141,140,130
145,113,132
167,144,144
140,127,120
167,126,130
140,136,122
140,141,131
135,143,183
118,146,148
170,135,132
141,145,119
150,130,119
143,122,130
167,130,119
131,151,148
163,110,83.8
130,123,127
148,160,133
176,141,130
150,145,113
153,119,113
127,127,162
170,113,136
165,151,155
155,122,117
143,156,120
140,123,130
151,141,156
173,166,124
161,126,143
153,138,127
163,129,110
179,190,151
148,134,121
135,128,143
140,117,150
162,136,112
146,154,132
168,141,186
158,151,116
155,150,158
160,116,173
126,165,127
170,148,143
146,160,112
132,137,129
140,163,156
164,116,170
140,123,141
143,130,153
166,130,126
162,137,131
173,154,153
144,146,125
140,141,131
143,126,150
170,148,141
117,148,134
148,125,90
144,158,140
158,145,126
138,123,148
153,158,173
140,153,136
143,132,183
145,146,140
180,164,146
165,130,135
190,125,148
186,131,173
153,165,134
180,148,168
153,145,143
173,125,144
158,153,148
139,153,153
183,140,143
132,154,126
160,156,156
156,136,120
170,162,127
160,153,134
168,180,131
163,168,96.7
161,161,133
160,164,158
180,140,164
189,150,189
156,183,164
153,163,146
177,165,127
162,153,170
153,121,140
148,133,137
168,120,151
150,143,146
173,158,123
158,150,151
183,162,154
151,148,179
173,156,153
145,153,127
158,140,138
164,148,154
153,160,135
146,163,161
166,166,151
126,141,158
158,166,158
156,173,182
184,158,146
141,172,146
158,164,161
173,126,146
151,146,145
143,160,156
146,174,160
160,180,140
143,146,136
160,153,144
160,158,156
140,160,148
143,156,165
112,180,161
132,146,137
168,177,127
166,161,125
140,153,174
158,150,158
144,156,154
135,136,168
126,136,151
153,138,151
162,160,150
171,160,154
151,148,160
150,125,165
162,143,173
136,156,138
156,186,166
141,180,145
176,158,175
137,145,145
141,141,160
173,141,136
130,135,153
134,193,144
140,150,132
141,156,160
151,145,150
146,161,150
131,151,135
140,167,196
170,148,154
155,160,141
129,153,131
132,143,132
132,148,112
144,160,138
141,146,154
143,158,140
146,131,170
116,148,136
134,141,170
146,122,134
133,160,155
144,200,135
123,134,151
156,168,121
128,135,122
140,187,160
186,189,160
136,133,143
135,130,132
141,161,140
160,113,135
137,125,150
130,160,148
125,134,153
148,151,122
148,141,109
145,175,116
163,143,110
130,119,103
160,138,132
141,115,138
138,143,130
155,160,158
153,141,134
170,158,146
131,146,103
143,125,160
160,150,146
163,160,103
150,135,123
140,160,100
148,125,96.7
154,126,158
121,150,138
153,143,166
143,153,141
144,141,143
140,138,148
167,146,144
150,158,133
176,128,148
138,137,136
151,155,134
141,143,148
156,148,137
170,146,168
150,165,143
140,136,137
,146,133
,148,136
,136,137
,167,112
,140,133
,153,175
,156,136
,163,132
,120,151
,130,150
,162,141
,132,144
,180,140
,155,140
,186,130
,158,135
,153,140
,148,134
,138,143
,158,143
,138,126
,138,131
,162,126
,155,141
,130,145
,136,116
,151,122
,136,110
,160,123
,175,170
,140,133
,141,130
,166,140
,143,
,148,
,148,
,146,
,116,
,132,
,133,
,140,
,150,
,141,
,148,
,146,
,144,
,141,
,151,
,116,
,144,
,165,
