barcode_cpu_trial1,barcode_mem_trial1,barcode_cpu_trial2,barcode_mem_trial2,barcode_cpu_trial3,barcode_mem_trial3,barcode_cpu_trial4,barcode_mem_trial4,barcode_cpu_trial5,barcode_mem_trial5,barcode_cpu_trial6,barcode_mem_trial6,barcode_cpu_trial7,barcode_mem_trial7,barcodeText_cpu_trial1,barcodeText_mem_trial1,barcodeText_cpu_trial2,barcodeText_mem_trial2,barcodeText_cpu_trial3,barcodeText_mem_trial3,barcodeText_cpu_trial4,barcodeText_mem_trial4,barcode_cpu_phone1,barcode_mem_phone1,barcodeText_cpu_phone1,barcodeText_mem_phone1
103,3.4,,,112,3.6,90.3,3.2,74.1,3.4,60.7,6,65.3,6.1,315,49.2,,,306,49.4,106,49.1,53.1,2,213,4.4
87,2.5,,,71.8,2.7,100,3.4,61.2,2.9,74,6.2,76,6.1,235,49.3,,,300,48.8,128,49.7,60,2,203,4.1
100,3.2,,,90.3,2.9,81.2,2.5,103,3,72,6.3,72,6.4,337,49.2,,,306,47.9,173,49.4,27.5,1.6,193,3.8
77.4,3,,,87,2.9,57.5,3.3,56.2,3.2,76,6,76,6.1,228,47.6,,,272,48.5,283,49.5,30.3,1.6,212,4.2
96.8,3.6,,,96.7,3,103,3.4,96.8,3.4,76.9,6.3,76,6.1,272,48.9,,,321,48.2,306,48.9,37.9,1.7,172,3.3
100,2.6,,,53.1,3.2,64.5,2.5,78.1,2.5,69.2,6.5,80,6.4,316,49.9,,,309,49.1,300,49.4,28.1,1.7,203,3.1
103,3.1,,,106,3.4,74.1,3.2,78.1,3.2,80.7,6,76.9,6.5,248,48.2,,,183,49.2,206,49.2,30,1.8,213,2.8
76.6,3,,,51.6,3,93.7,3.4,96.8,2.6,80.7,6,73,6,184,48.7,,,231,49.1,241,48.7,33.3,1.8,229,6.5
109,3.6,,,100,3,100,3.4,90.3,2.7,80.7,6.2,81.4,6.6,312,49.1,,,309,48.8,303,50.1,43.3,1.8,212,5.7
78.7,2.8,,,83.8,3.2,60,2.5,83.3,2.9,84,6.4,64,6,220,48.7,,,162,49.3,145,49.9,38.7,1.7,212,4.9
100,3.4,,,100,3.4,96.7,3.2,103,3.5,84,6.5,69.2,6.2,184,48.8,,,206,47.9,276,48.8,46.6,1.7,215,4.3
54.8,3,,,80.6,3.6,56.2,3,87,3.3,73,6,68,6.5,308,48.1,,,203,48.1,313,48.5,62,2,275,7.4
50,3.3,,,100,2.6,103,3.6,113,3.3,80,6,80,6.1,225,48.1,,,308,46.9,277,49.3,40,2,220,6.6
100,3.7,,,53.1,2.7,100,3.2,96.8,3.6,74,6.3,84,6.2,248,48.4,,,206,47.9,220,50.1,53.3,1.9,200,6.2
50,3.3,,,96.7,3,70,3,81.8,2.7,70.3,6.2,76,6.2,236,47.7,,,225,48.1,283,49.6,53.3,1.8,210,6.1
100,3.7,,,58,3.2,100,3,67.7,2.9,80,6.3,76.9,6.4,171,48.1,,,308,47.7,290,49.1,37.9,1.8,213,7.1
63.3,3.3,,,103,3.4,103,3,112,3.6,80,6.5,80,6.3,306,48.1,,,187,47.7,177,49.7,33.3,1.8,162,6.4
96.8,3.7,,,87.5,2.5,56.2,3.2,61.2,3.3,80,6.5,88,6.5,138,47.9,,,362,49.1,216,49.7,32.2,1.8,193,6.4
78.7,2.5,,,100,3.2,100,3.4,106,2.9,88,6.8,84,6.2,209,48.1,,,217,49.3,196,50.1,48.3,1.9,272,9.4
93.5,3.2,,,51.6,3,59.3,3.7,100,3.2,84,6.4,76,6.5,106,47.1,,,325,48.3,171,49.8,33.3,1.9,231,8.5
76.6,3,,,93.9,2.6,96.8,3.2,54.8,3,88,6.7,76.9,6.7,145,47.8,,,227,48.2,206,49.8,34.3,1.9,212,8
67.7,3.6,,,54.5,2.7,53.1,3,100,3.6,84.6,6.2,82.7,6.8,315,46.4,,,312,48.8,309,50,33.3,1.9,163,10.6
103,3.4,,,96.8,3,100,3,93.7,3.3,84.6,6.8,77.7,6.5,318,47,,,200,49.1,151,49.8,44.8,2,183,10.1
106,3.6,,,56.6,3.2,78.7,3.2,74.1,3.6,80.7,6,72,6.4,209,48.2,,,150,48.9,193,48.4,43.3,1.9,220,9.9
67.7,2.7,,,103,3.4,100,3.4,100,3.2,80.7,6.2,76.9,6.2,258,47.3,,,256,47.8,243,49.3,36.6,2,217,9.6
96.8,3.3,,,54.8,3,110,3.6,87.5,2.9,80.7,6.2,73,6.2,154,49.1,,,254,48.7,322,47.9,22.5,1.9,196,9.6
61.2,3,,,93.9,3,54.8,2.8,51.6,3.2,80.7,6.1,72,6.4,306,48.5,,,256,49.5,306,48.4,26.6,1.8,230,9.4
83.8,3.2,,,80.6,3.2,100,3.4,90.3,2.9,68.9,6.2,76.9,6.6,209,48.9,,,227,48.5,283,47.6,20,1.7,186,8.9
96.8,3.4,,,96.7,3,100,3,100,3.6,74,6.5,84.6,6.3,285,48.4,,,241,49.4,326,47.1,34.4,1.8,200,10
62.5,2.5,,,96.7,3,103,3.6,100,3.3,88.4,6.2,76,6.3,316,48,,,246,49.4,277,46.8,24.1,1.9,164,10
96.7,2.8,,,93.7,3.3,96.8,3.4,80.6,3.2,80.7,6.1,73,6.8,215,49.2,,,224,49.3,343,46.6,16.1,1.6,162,10
96.7,3.4,,,100,3,100,2.9,54.5,3,80.7,6.7,68,6,300,48.7,,,325,49.7,256,46.2,23.3,1.7,158,9.3
93.7,3,,,70.9,3.3,100,2.6,61.2,2.4,84,6.5,84,6,221,49.1,,,290,49.8,293,46.3,31,1.8,155,11.4
100,3.2,,,103,3.7,103,3.4,96.7,3.4,76.9,6.2,84,6,312,48.9,,,228,50.7,325,45.4,35.4,1.9,155,11.3
100,3,,,103,2.7,103,3.7,78.1,3.3,88,6.2,76.9,6.6,321,48.8,,,325,49.8,312,46.3,36.6,2,177,11.2
96.8,3.2,,,74.1,2.6,103,3.4,40.6,3.3,73,6.5,65.5,6,216,49.4,,,158,50.2,125,46.1,22.5,1.7,193,11
100,3.4,,,53.3,3.2,113,3,46.8,3,84,6.5,84,6.5,337,48.7,,,334,50.7,161,45.8,31,1.8,183,10
96.8,3.7,,,73.3,3,96.8,3.2,80.6,3.2,76,6.7,84,6.1,303,47.9,,,328,50.2,270,45.1,44.8,1.8,231,10.7
96.8,3.4,,,100,3.6,100,3,62.5,3.3,84,6,84.6,6,194,49,,,346,49.7,125,45.3,23.3,1.9,175,10.5
100,3.6,,,96.7,2.8,100,3.2,74.1,3.5,80,6.4,88,6.5,273,48.4,,,212,50.6,296,46.5,41.3,2,216,10.9
96.8,3.4,,,78.1,3,96.8,3.4,87.5,3.4,85.1,6.4,88,6.3,380,46.6,,,378,50.2,189,46.3,23.3,1.6,213,10.7
87.5,3.3,,,90,3.2,96.7,3.4,78.1,2.6,70.3,6.2,84.6,6.5,332,45.8,,,316,50.1,139,45.9,16.1,1.7,229,9.6
38.7,3,,,87,3.4,96.8,3.4,96.8,2.9,76,6.2,72,5.9,222,46.1,,,312,49,317,45.2,26.6,1.9,240,12.2
63.6,3.2,,,103,3.4,96.8,3,96.8,3.2,70.3,6.4,80.7,6.2,209,46.6,,,318,49.1,166,46.1,24.1,1.9,231,14.9
81.2,3.4,,,93.5,2.5,96.8,3.3,96.8,2.9,84,6.2,80,6.3,316,46.7,,,270,48.8,183,44.3,37.9,2,227,15.1
71.8,2.5,,,90.3,2.8,75,3.3,96.7,3.1,80,6.6,88,6.5,302,46.6,,,309,48.5,168,46.2,24.1,1.6,227,14.7
96.8,3.4,,,100,3.4,43.7,3.3,40.6,2.9,66.6,6,76.9,5.9,359,46.3,,,239,49,,,43.3,1.7,173,15.7
53.1,2.5,,,103,3.7,43.7,3.3,48.3,3.2,80.7,6.8,84.6,6.7,317,46.1,,,329,47.3,,,35.4,1.7,210,15.1
50,2.8,,,100,2.9,96.8,3,71.8,2.9,70.3,6.6,75,6.3,138,45.4,,,406,46.3,,,44.8,1.8,210,15
61.2,3,,,83.3,3.2,109,3.6,103,3.2,68,6.2,66.6,5.9,261,45.7,,,220,45.3,,,27.5,1.9,166,14.5
84.3,2.6,,,50,3,106,3.4,66.6,3.3,64,6.3,80.7,6.8,333,44.7,,,293,43.6,,,51.6,2,179,14.1
96.6,2.7,,,96.7,3,96.8,3,93.9,2.9,76,6.2,76.9,5.8,205,45.1,,,345,41.2,,,16.1,1.6,227,13.7
93.7,3,,,93.7,3.3,106,3.6,53.1,3.2,65.3,6.6,65.3,6.2,300,43.7,,,270,41.1,,,37.9,1.7,150,13.3
93.7,3.2,,,106,3,100,3.4,48.3,2.9,69.2,6.3,64,6,456,42.3,,,300,39.8,,,36.6,1.8,271,14.6
100,3.4,,,64.5,3,100,2.5,54.8,3.1,57.1,6.5,72,6.3,318,42.6,,,450,39.2,,,40,1.9,277,17
103,3.6,,,63.3,3.2,103,3.4,66.6,3.3,59.2,6.5,65.3,6.4,306,43,,,294,40.5,,,33.3,2,290,17
103,3.4,,,113,3.4,103,2.9,51.5,2.4,64,6.3,72,6.4,279,42.2,,,193,41.2,,,21.8,1.6,274,17.3
96.8,3,,,96.6,3,93.9,3.3,46.8,2.7,72,6.3,72,6.6,316,40.1,,,300,40.8,,,35.4,1.6,216,18.2
100,3.6,,,50,2.6,100,3,53.1,2.9,69.2,6.3,61.5,6.1,155,41.9,,,132,41.1,,,20,1.7,343,18.4
100,3.4,,,113,3.6,87,2.8,54.8,3.2,61.5,6,76,6.1,287,40.6,,,221,40.4,,,24.1,1.8,245,17.9
103,3.6,,,103,3.4,100,3.4,100,3.3,72,6.2,73,6.6,224,41.1,,,214,40.6,,,43.3,1.9,284,18.6
103,3.4,,,93.7,3.3,100,3,93.7,2.9,65.3,6.8,64,6,300,41,,,240,41.2,,,34.4,1.5,263,18.4
100,2.8,,,56.2,3.3,100,2.5,96.8,3.1,64,6,60.7,6,202,42.6,,,315,40.2,,,16.6,1.6,218,19.1
96.8,3.2,,,96.7,3,96.8,3,93.7,2.7,65.3,6,62.9,6.1,244,41.3,,,266,40.6,,,27.5,1.7,273,19
96.7,3,,,62.5,3,84.3,3.3,45.1,2.9,68,6.2,64,6.4,205,39.4,,,242,39.6,,,41.3,1.7,206,18.4
100,3.2,,,100,3.4,56.2,3,90,2.4,65.3,6.3,61.5,6,268,38.5,,,322,40.9,,,50,1.8,226,18.6
96.8,3.4,,,76.6,3,70.9,2.5,100,3.2,80,6.6,72,6.3,360,38.4,,,308,39.9,,,36.6,1.4,306,20.1
64.5,3,,,96.7,3.6,93.7,3.4,103,2.9,68,6.2,76,6.6,266,39.1,,,316,41.6,,,31,1.5,236,20
53.1,2.5,,,100,3.4,96.8,2.5,103,3.2,56.6,6.5,72,6.5,165,39.5,,,144,43.2,,,31,1.6,218,19.6
45.1,3,,,51.6,2.5,96.8,2.8,96.8,3.3,61.5,6.2,70.3,6.6,327,39.4,,,189,42.5,,,37.9,1.6,267,20.3
90.3,3.2,,,78.1,2.8,103,2.9,110,3.6,69.2,6.3,80,6.4,106,39.9,,,190,43.1,,,24.1,1.8,293,20.1
103,3.4,,,100,3.4,96.7,3.2,68.7,2.7,60,6.8,61.5,6,210,40.8,,,,,,,36.6,1.4,268,20.6
96.8,3,,,66.6,3.6,100,3,46.6,2.9,73,6.5,72,6.3,180,39.5,,,,,,,26.6,1.5,293,20.2
96.8,3.2,,,93.7,3.3,100,3.3,67.7,3.2,68,6.2,73,5.9,200,39.6,,,,,,,33.3,1.5,310,21
93.7,3,,,56.6,3,106,3.4,96.6,2.9,64,6,84,6.6,,,,,,,,,21.8,1.6,215,20.9
100,3.2,,,103,3,109,3.7,96.7,2.9,65.3,6,61.5,6,,,,,,,,,48.2,1.7,312,20.7
100,3.4,,,60,2.6,71.8,3.4,100,3.1,80.7,6.8,62.9,5.8,,,,,,,,,20,1.4,356,22.7
62.5,3.6,,,113,3.6,64.5,2.5,48.3,2.9,69.2,6.6,54.8,6.4,,,,,,,,,24.1,1.4,284,21.9
53.1,3.4,,,80.6,2.8,100,3.2,80.6,2.6,69.2,6.2,73,6,,,,,,,,,23.3,1.5,273,21
43.7,2.5,,,100,3.4,90,3,78.1,3.2,69.2,6.5,57.6,5.9,,,,,,,,,23.3,1.6,283,20.9
81.2,2.8,,,61.2,3.4,100,3.6,86.6,3,72,6.8,69.2,6.3,,,,,,,,,46.6,1.7,212,20.4
103,3.4,,,96.5,2.9,103,3,103,3.5,72,6.6,61.5,6.3,,,,,,,,,37.9,1.3,235,23.2
83.8,3.3,,,83.8,3.2,100,3.2,86.6,3,64.2,6.4,76,6.3,,,,,,,,,20,1.4,216,22.7
60,3.7,,,59.3,3,70,2.6,58,3.2,65.3,6.2,61.5,6.1,,,,,,,,,27.5,1.5,283,23.6
46.8,3,,,96.5,2.9,56.2,2.7,59.3,3.4,69.2,6.5,69.2,6.4,,,,,,,,,22.5,1.6,229,23.9
53.1,3.3,,,93.5,2.6,56.2,3.1,38.7,3.3,65.3,6,65.3,6.1,,,,,,,,,51.6,1.6,246,24.7
56.6,3.4,,,64.5,3.2,100,3.4,86.6,3.3,68,6.6,64,6.7,,,,,,,,,37.9,1.2,384,24.6
43.7,3,,,80.6,3.4,90,2.9,63.3,3,72,6,65.3,6.3,,,,,,,,,16.1,1.4,300,24.4
100,3.2,,,50,2.5,100,3.4,100,2.4,69.2,6.5,69.2,6.3,,,,,,,,,20,1.4,426,25
100,3.1,,,96.7,3.3,87,3,96.6,3.2,73,6.6,68,5.8,,,,,,,,,19.3,1.5,287,25.1
103,3.3,,,59.3,3,103,3,50,2.9,76,6.8,70.3,6,,,,,,,,,40,1.6,365,24.8
103,3.4,,,66.6,3,96.7,3.2,96.7,2.9,73,6.8,62.9,6,,,,,,,,,65.5,1.6,300,25.1
96.7,3.4,,,76.6,2.5,63.3,3,103,3.2,72,6.2,72,6.4,,,,,,,,,27.5,1.3,250,25.6
103,3.4,,,96.6,3.2,93.5,3,60,2.9,72,6.5,64,5.8,,,,,,,,,40,1.4,258,24.8
100,3.4,,,70,3.4,100,3.3,58,3.2,69.2,6,76,6.4,,,,,,,,,31,1.5,361,26.4
84.3,3.4,,,90.6,3,62.5,3,100,3.2,65.5,6.8,76,6.3,,,,,,,,,51.7,1.6,274,26.8
68.7,3.3,,,62,2.5,100,3,61.2,3,57.1,6.2,64,6.1,,,,,,,,,37.9,1.2,351,26.8
100,3.2,,,62.5,3.3,100,3.3,100,2.9,73,6.9,72,5.8,,,,,,,,,37.9,1.3,263,27.6
100,3,,,43.3,2.7,75,3,83.3,3.2,68,6,76,6.3,,,,,,,,,37.9,1.4,263,27.5
100,3.2,,,100,3.4,56.6,3,100,3.3,68,6.2,64,6.1,,,,,,,,,20,1.5,306,27.9
96.7,3.4,,,96.7,3,60,2.6,65.6,2.6,65.3,6,64,6.3,,,,,,,,,65.5,1.6,280,27.4
56.2,2.5,,,103,3.6,93.3,3.2,46.8,3.2,61.5,6,73,6.6,,,,,,,,,20.6,1.2,274,26.9
90,2.8,,,103,3.3,100,3.4,90,2.7,65.3,6,76,6.4,,,,,,,,,20.6,1.2,296,27.3
100,3.3,,,86.6,2.7,93.5,2.8,87,2.3,65.3,6.2,61.5,6.3,,,,,,,,,33.3,1.3,300,28.2
53.1,2.5,,,86.6,3,90.3,2.6,56.6,2.6,68,6.3,60.7,6.1,,,,,,,,,31,1.4,250,27.2
96.7,3.2,,,93.5,2.6,45.1,2.6,76.6,2.1,65.3,6.3,67.8,6.6,,,,,,,,,41.3,1.5,265,27.1
90,3.4,,,100,2.5,46.6,2.4,100,2.5,65.3,6.5,65.3,6,,,,,,,,,41.3,1.1,277,26.5
103,3.2,,,61.2,2.4,50,2.3,93.3,1.9,57.6,6.6,69.2,6.4,,,,,,,,,16.6,1.2,288,26.6
103,3,,,103,2.5,63.3,2.3,96.8,2.8,69.2,6.6,68,5.8,,,,,,,,,27.5,1.3,280,27.7
106,3.2,,,100,2.4,77.4,2.1,96.6,1.8,55.5,6,64,5.8,,,,,,,,,22.5,1.3,270,27.4
46.8,2.3,,,103,2.2,96.7,2.2,66.6,2.2,65.3,6.8,68,6,,,,,,,,,24.1,1.4,226,27.9
58,2.2,,,103,2.2,58,2,100,2.1,84,6.8,61.5,6.1,,,,,,,,,23.3,1,241,27.5
93.7,2.6,,,43.7,1.6,51.6,2,100,1.8,68,6.8,65.3,6.1,,,,,,,,,13.3,1.1,280,27.6
100,2.5,,,43.7,1.6,100,2.8,93.3,2.4,76.9,6,76,6.1,,,,,,,,,30,1.2,293,26.8
93.9,2.4,,,100,1.6,93.7,2.8,96.6,2.6,76,6.8,61.5,6,,,,,,,,,31,1.3,225,28.4
96.8,2.2,,,103,3.2,54.8,2.8,96.8,2.6,65.3,6.8,61.5,5.8,,,,,,,,,27.5,1.9,513,29.1
96.7,2.1,,,65.6,2.6,54.8,2.8,96.7,2.4,76,6.6,69.2,6.4,,,,,,,,,41.3,1.9,266,29.4
100,2,,,106,3,61.2,2.7,93.7,2.4,76,6.8,65.3,6.1,,,,,,,,,46.6,2,233,29.7
100,1.9,,,93.7,2.6,53.1,2.5,103,2.3,80,6.6,58.6,6.3,,,,,,,,,,,206,30
103,1.8,,,96.6,2.4,103,2.6,86.6,2.2,73,6.8,55.5,6.3,,,,,,,,,,,300,29.8
86.6,1.6,,,93.7,2.4,96.7,2.5,70.9,1.8,76,6.6,72,6.4,,,,,,,,,,,261,28.9
86.6,1.6,,,96.7,1.9,63.3,3.3,58,2.4,72,6.5,76,6.6,,,,,,,,,,,281,29.8
106,1.8,,,65.6,3,100,3,103,2.9,64.2,6.8,68,5.8,,,,,,,,,,,,
100,1.6,,,93.7,3,68.7,2.4,66.6,2.6,62.9,6.3,73,5.9,,,,,,,,,,,,
77.4,1.6,,,86.6,3,100,2.6,70,2.6,65.3,6.3,76,6,,,,,,,,,,,,
93.3,1.6,,,60,2.8,96.6,2.8,96.7,2.8,69.2,6,61.5,6.1,,,,,,,,,,,,
103,1.6,,,83.3,2.7,63.3,2.7,63.3,2.2,65.3,6.2,61.5,6.1,,,,,,,,,,,,
103,1.6,,,96.6,3.1,100,2.3,93.3,2.6,72,6.3,65.3,6.2,,,,,,,,,,,,
62.5,3,,,100,3,100,2.7,96.7,2.3,68,6.2,69.2,6.3,,,,,,,,,,,,
96.7,3,,,106,2.9,70,2.4,100,3.5,65.3,6.2,65.3,6.1,,,,,,,,,,,,
63.3,3,,,100,3.5,69.6,2.3,54.8,2.8,69.2,6.3,72,6.3,,,,,,,,,,,,
100,3,,,96.6,2.7,103,2.7,58,2.7,69.2,6.3,65.3,6.4,,,,,,,,,,,,
103,3.2,,,93.7,2.6,93.7,2.5,93.5,2.8,61.5,6.2,64.2,6.1,,,,,,,,,,,,
48.2,2.3,,,100,2.6,96.7,2.4,103,2.7,65.3,6.2,55.5,6,,,,,,,,,,,,
100,2.7,,,100,2.4,54.8,2.3,57.5,1.8,68,6.3,72,6,,,,,,,,,,,,
96.7,2.6,,,93.7,2.8,100,2.4,63.3,1.7,65.3,6.5,65.3,6.1,,,,,,,,,,,,
96.6,3.3,,,90,2.6,86.6,1.6,53.1,2,74,6.6,61.5,6.3,,,,,,,,,,,,
103,2.9,,,110,2.6,96.6,1.8,96.6,2.1,76,6.6,61.5,6.3,,,,,,,,,,,,
103,2.5,,,103,2.6,100,1.9,51.6,2,72,6.8,68,6.4,,,,,,,,,,,,
100,2.9,,,70.9,2.1,96.8,1.8,53.3,1.5,72,6.8,76,6.6,,,,,,,,,,,,
56.6,2,,,66.6,2.4,83.3,1.6,100,1.5,68,6.8,69.2,6.6,,,,,,,,,,,,
51.6,1.9,,,51.6,1.9,96.6,1.6,103,1.5,73,6.8,73,6.7,,,,,,,,,,,,
100,2.2,,,83.8,2.3,96.7,1.6,96.7,1.5,69.2,6.5,65.3,5.9,,,,,,,,,,,,
93.7,2.1,,,48.3,1.7,86.6,1.6,93.7,1.5,62.9,6.5,68,6,,,,,,,,,,,,
76.6,1.7,,,100,2.1,96.7,1.6,96.7,1.5,61.5,6.5,68,6,,,,,,,,,,,,
100,2.1,,,96.6,2.1,56.2,1.6,50,1.5,59.2,6.3,68,6.1,,,,,,,,,,,,
96.8,2,,,100,2.4,96.7,1.6,100,1.5,65.3,6,58.6,5.8,,,,,,,,,,,,
63.3,1.9,,,103,1.6,93.3,1.6,103,1.5,64,6,70.3,6.1,,,,,,,,,,,,
90,1.6,,,56.6,1.8,103,1.6,61.2,1.5,72,6.8,64,6.1,,,,,,,,,,,,
100,1.6,,,56.2,1.6,73.3,1.6,103,1.5,53.5,6.2,61.5,6.1,,,,,,,,,,,,
93.5,1.6,,,100,1.6,96.6,1.6,64.5,1.5,61.5,6.5,68,6,,,,,,,,,,,,
83.8,1.6,,,90.6,1.6,100,1.6,93.3,1.5,68,6.5,84.6,6.4,,,,,,,,,,,,
67.7,1.6,,,93.9,1.6,93.5,1.6,96.7,1.5,65.3,6.3,65.3,6.3,,,,,,,,,,,,
53.3,1.6,,,87.5,1.6,56.2,1.6,100,1.5,68,6.2,64,6.3,,,,,,,,,,,,
106,1.6,,,63.3,1.6,103,1.6,60,1.5,69.2,6,64,6.3,,,,,,,,,,,,
103,1.6,,,53.3,1.6,96.6,1.6,106,1.5,40.7,6,68,6.1,,,,,,,,,,,,
60,1.6,,,83.3,1.6,103,1.6,96.7,1.5,73,6.7,68,6.1,,,,,,,,,,,,
100,1.6,,,103,1.6,96.6,1.6,93.7,1.5,66.6,6,72,6.3,,,,,,,,,,,,
93.7,1.6,,,106,1.6,80.6,1.6,83.3,1.5,57.6,6.6,68,6,,,,,,,,,,,,
90,1.6,,,103,1.6,50,1.6,48.3,1.5,65.3,6.3,57.6,6.1,,,,,,,,,,,,
53.3,1.6,,,103,1.6,100,1.7,93.3,1.5,68,6.6,64.2,6.1,,,,,,,,,,,,
110,1.6,,,100,1.6,100,1.6,106,1.5,,,,,,,,,,,,,,,,
96.7,1.6,,,96.8,1.6,110,1.6,61.2,1.5,,,,,,,,,,,,,,,,
103,1.6,,,90,1.6,96.7,3.5,103,2.8,,,,,,,,,,,,,,,,
45.1,1.6,,,100,2.5,73.3,2.6,110,3.2,,,,,,,,,,,,,,,,
50,1.6,,,96.9,3.2,60,2.5,96.7,2.7,,,,,,,,,,,,,,,,
103,1.6,,,96.7,2.8,90,2.5,96.7,2.1,,,,,,,,,,,,,,,,
100,1.6,,,87,2.6,96.7,2.1,96.8,2.5,,,,,,,,,,,,,,,,
100,1.6,,,61.2,2.4,106,2.8,96.7,2,,,,,,,,,,,,,,,,
90,1.6,,,77.4,2.4,93.5,2.4,87.5,1.8,,,,,,,,,,,,,,,,
100,1.6,,,96.7,2.3,62.5,2.6,100,1.7,,,,,,,,,,,,,,,,
100,3.5,,,103,2.2,96.6,2.2,96.7,1.9,,,,,,,,,,,,,,,,
96.8,2.7,,,96.7,2.4,100,2,90.9,1.8,,,,,,,,,,,,,,,,
103,2.6,,,106,2.3,103,1.9,100,1.8,,,,,,,,,,,,,,,,
103,2.5,,,100,2.1,56.6,1.8,62.5,1.6,,,,,,,,,,,,,,,,
103,2.4,,,106,2.1,103,2.1,100,2,,,,,,,,,,,,,,,,
96.7,2.4,,,110,2.4,106,1.6,75,1.5,,,,,,,,,,,,,,,,
106,2.5,,,96.7,1.9,96.7,1.6,93.5,1.6,,,,,,,,,,,,,,,,
48.3,2.3,,,93.7,1.8,93.7,1.6,90,1.5,,,,,,,,,,,,,,,,
100,2.1,,,96.8,1.6,48.3,1.6,96.7,1.5,,,,,,,,,,,,,,,,
103,2.4,,,96.7,1.6,83.3,1.6,100,1.5,,,,,,,,,,,,,,,,
96.6,1.6,,,96.7,1.6,106,1.6,93.7,1.5,,,,,,,,,,,,,,,,
106,2.3,,,100,1.6,100,1.6,103,1.5,,,,,,,,,,,,,,,,
90.3,1.8,,,100,1.6,58,1.6,53.3,1.5,,,,,,,,,,,,,,,,
106,2.1,,,61.2,1.6,106,1.6,100,1.5,,,,,,,,,,,,,,,,
100,1.9,,,100,1.6,96.7,1.6,75,1.5,,,,,,,,,,,,,,,,
90,1.6,,,80.6,1.6,103,1.6,58,1.5,,,,,,,,,,,,,,,,
96.8,1.7,,,54.8,1.6,100,1.6,72.7,1.5,,,,,,,,,,,,,,,,
100,1.6,,,45.4,1.6,86.6,1.6,100,1.5,,,,,,,,,,,,,,,,
90.3,1.6,,,71.8,1.6,75,1.6,54.8,1.5,,,,,,,,,,,,,,,,
60,1.6,,,56.2,1.6,96.8,1.6,48.3,1.5,,,,,,,,,,,,,,,,
50,1.6,,,64.5,1.6,106,1.6,84.3,1.5,,,,,,,,,,,,,,,,
73.3,1.6,,,100,1.6,96.7,1.6,83.8,1.5,,,,,,,,,,,,,,,,
96.7,1.6,,,103,1.6,100,1.6,90.3,1.5,,,,,,,,,,,,,,,,
77.4,1.6,,,106,1.6,83.8,1.6,80.6,1.5,,,,,,,,,,,,,,,,
56.2,1.6,,,96.8,1.6,56.6,1.6,61.2,1.5,,,,,,,,,,,,,,,,
83.8,1.6,,,106,1.6,93.7,1.6,38.7,1.5,,,,,,,,,,,,,,,,
100,1.6,,,53.3,1.6,56.2,1.6,83.8,1.5,,,,,,,,,,,,,,,,
103,1.6,,,93.5,1.6,87.8,1.6,100,1.5,,,,,,,,,,,,,,,,
96.7,1.6,,,109,1.6,110,1.6,93.7,1.5,,,,,,,,,,,,,,,,
93.7,1.6,,,93.7,1.6,100,1.6,100,1.5,,,,,,,,,,,,,,,,
84.3,1.6,,,96.8,1.6,103,1.6,110,1.5,,,,,,,,,,,,,,,,
96.7,1.6,,,106,1.6,100,1.6,103,1.5,,,,,,,,,,,,,,,,
96.8,1.6,,,93.7,1.6,45.1,1.6,96.8,1.5,,,,,,,,,,,,,,,,
96.8,1.6,,,100,1.6,90.6,1.6,93.5,1.5,,,,,,,,,,,,,,,,
103,1.6,,,96.8,1.6,96.7,1.6,73.3,1.5,,,,,,,,,,,,,,,,
103,1.6,,,74.1,1.6,58,1.6,71.8,1.5,,,,,,,,,,,,,,,,
109,1.6,,,103,1.6,50,1.6,100,1.5,,,,,,,,,,,,,,,,
96.8,1.6,,,80.6,1.6,93.3,1.6,100,1.5,,,,,,,,,,,,,,,,
100,1.6,,,100,1.6,106,1.6,96.7,1.5,,,,,,,,,,,,,,,,
103,1.6,,,100,1.6,75,1.6,46.8,1.5,,,,,,,,,,,,,,,,
100,1.6,,,110,1.6,56.2,1.6,72.7,1.5,,,,,,,,,,,,,,,,
96.7,1.6,,,93.7,1.6,100,1.6,103,1.5,,,,,,,,,,,,,,,,
103,1.6,,,96.8,1.6,103,1.6,100,1.5,,,,,,,,,,,,,,,,
48.4,1.6,,,80.6,1.6,96.8,1.6,113,1.5,,,,,,,,,,,,,,,,
77.4,1.6,,,45.1,1.6,56.2,1.6,100,1.5,,,,,,,,,,,,,,,,
66.6,1.6,,,51.6,1.6,53.3,1.6,93.9,1.5,,,,,,,,,,,,,,,,
96.7,1.6,,,45.1,1.6,84.8,1.6,100,1.5,,,,,,,,,,,,,,,,
100,1.6,,,68.7,1.6,70,1.6,103,1.5,,,,,,,,,,,,,,,,
70.9,1.6,,,96.8,1.6,38.7,1.6,100,1.5,,,,,,,,,,,,,,,,
61.2,1.6,,,96.7,1.6,43.7,1.6,110,1.5,,,,,,,,,,,,,,,,
53.1,1.6,,,103,1.6,76.6,1.6,46.8,1.5,,,,,,,,,,,,,,,,
62.5,1.6,,,100,1.6,56.6,1.6,54.8,1.5,,,,,,,,,,,,,,,,
48.4,1.6,,,100,1.6,100,1.6,87,1.5,,,,,,,,,,,,,,,,
45.4,1.6,,,74.1,1.6,96.7,1.6,93.7,1.5,,,,,,,,,,,,,,,,
54.8,1.6,,,100,1.6,,,,,,,,,,,,,,,,,,,,
