trial1,trial2,trial3,trial4,trial5
245,300,390,378,263
268,310,260,265,251
290,325,320,420,300
270,310,396,264,310
274,387,263,300,293
280,296,326,413,283
248,263,434,233,334
296,312,268,312,270
260,287,296,317,303
243,303,277,323,270
270,293,303,425,334
266,353,310,278,263
268,390,324,320,280
246,216,324,396,300
258,259,344,240,258
257,243,334,327,280
246,276,413,334,274
276,300,273,380,282
248,309,313,244,273
245,303,419,283,273
223,286,278,333,290
243,306,343,396,290
248,273,288,263,317
266,313,337,319,258
251,273,317,373,262
245,248,440,274,264
251,267,269,275,256
261,258,390,300,232
251,306,231,348,266
263,283,324,279,257
237,300,353,278,277
277,283,244,355,296
248,303,326,327,231
309,275,368,358,262
272,282,364,313,262
271,324,256,350,247
239,280,320,281,245
251,259,396,297,256
233,336,291,356,257
242,290,364,264,316
243,262,306,375,358
297,313,300,313,296
320,334,326,345,248
334,379,364,344,275
313,343,316,340,302
309,341,369,390,275
290,316,309,327,329
254,300,316,362,332
251,216,274,303,313
324,289,322,327,283
333,323,294,320,332
309,296,288,283,311
313,270,287,302,344
266,321,289,257,340
291,368,293,302,303
336,334,327,300,321
306,283,327,393,344
303,286,348,379,321
318,366,345,293,289
344,334,337,341,283
368,270,337,333,340
313,300,327,287,346
278,280,302,313,341
272,335,320,358,318
302,287,321,332,337
320,275,327,316,320
303,339,343,300,240
296,330,345,327,300
343,275,316,325,355
366,345,362,331,333
316,326,351,303,380
290,310,270,283,343
327,239,309,355,336
326,286,325,290,351
323,332,270,321,316
296,323,327,316,337
280,303,287,264,333
280,313,319,316,313
317,348,296,358,327
245,332,310,329,346
294,270,296,331,316
406,351,268,355,318
293,323,383,335,354
261,280,333,332,323
305,310,283,346,302
323,350,321,290,353
290,310,300,280,350
276,366,318,300,321
289,287,309,336,360
246,370,280,318,319
262,290,379,358,293
338,300,356,312,300
322,351,320,324,283
331,293,242,412,345
379,332,409,232,344
277,348,258,277,320
324,251,403,313,264
348,335,281,320,279
337,332,316,358,315
287,343,338,316,309
279,236,409,434,302
310,309,290,423,267
224,264,290,297,235
286,306,326,266,264
294,289,406,303,296
280,270,275,310,259
396,272,287,303,290
251,296,337,300,316
243,289,317,289,242
270,279,403,278,267
274,270,250,303,293
251,306,341,293,262
274,280,333,303,258
258,303,351,396,259
256,364,,,270
358,,,,293
256,,,,258
