trial1,trial2,trial3
141,96.5,118
133,70,136
119,155,135
123,134,156
129,170,153
110,166,163
68.9,130,106
120,118,90
100,96.6,89.6
165,86.2,78.1
106,90.3,123
130,153,146
132,151,164
129,132,144
79.3,172,162
76.6,156,79.3
153,154,82.7
131,154,110
96.5,127,141
155,90,170
146,141,130
135,136,126
133,153,139
83.8,128,125
143,140,163
138,153,170
127,141,78.1
100,124,93.3
121,146,68.7
145,118,93.7
138,136,137
93.3,125,113
68.9,153,103
90.3,144,145
150,145,130
109,138,89.6
144,145,74.1
110,154,81.2
96.8,151,93.7
86.6,125,96.6
193,79.3,87
176,93.7,100
120,66.6,141
96.5,90.3,65.5
100,74.1,126
90.3,141,123
120,130,110
120,140,67.7
93.1,138,151
112,119,141
83.8,141,158
113,146,137
134,131,162
137,100,115
100,86.6,86.6
172,100,166
150,96.6,154
121,96.5,130
87.5,113,141
123,90,119
82.7,110,90
103,160,116
76.6,162,70
119,122,124
127,137,136
80.6,130,158
96.6,124,113
93.1,145,135
134,110,153
84.3,151,58.6
81.2,137,59.3
70.9,167,100
96.5,126,93.3
158,129,110
82.7,116,44.8
78.1,137,57.5
160,150,96.5
156,116,110
135,96.6,55.1
179,87,39.3
116,53.3,117
87.5,96.5,93.3
73.3,79.3,117
170,109,46.6
129,48.2,79.3
90.3,46.6,90.3
93.1,83.3,70
144,80.6,76.6
156,60,53.3
83.3,83.3,53.1
116,96.6,86.6
133,80,34.4
130,100,43.3
80.6,90.3,43.7
90,96.6,93.3
72.4,87.5,96.6
75.8,87,96.7
46.6,90.3,103
106,76.6,90.3
51.6,55.1,136
46.6,40,79.3
43.3,110,48.2
68.9,106,93.1
75.8,60,48.4
43.3,113,96.6
46.6,50,93.5
69.6,54.8,55.1
48.2,54.5,93.7
80.6,86.6,158
41.3,72.4,162
51.6,122,158
90,56.6,137
100,50,150
87,58,134
93.1,80,170
51.7,100,144
110,175,162
55.1,158,176
103,103,103
60,182,156
82.7,200,187
122,148,180
130,146,134
37.9,158,146
48.3,110,168
45.4,163,119
46.6,168,125
79.3,158,166
64.5,103,172
83.8,106,143
40,175,120
90.3,224,170
62,131,127
58,96.6,166
86.6,93.7,106
109,155,106
80.6,196,176
41.9,133,170
183,115,148
106,203,117
117,170,200
97,180,160
170,103,100
173,196,155
130,175,100
134,150,153
216,96.8,106
96.7,146,210
131,118,193
145,213,151
241,150,182
120,137,156
141,148,106
158,103,174
122,142,182
159,174,134
100,181,109
189,203,119
109,203,150
151,124,156
175,130,158
96.5,161,143
193,200,113
156,203,103
135,187,140
103,182,196
176,148,174
145,90.6,127
140,93.9,103
109,206,175
156,170,160
163,126,96.5
120,140,106
166,112,127
180,118,120
231,143,131
117,150,135
130,86.2,113
193,83.3,79.3
160,100,106
112,112,93.5
151,103,161
96.5,119,138
143,145,153
213,132,123
190,140,80.6
109,113,150
162,103,148
134,106,140
127,96.5,135
124,100,150
164,125,72.4
151,166,103
203,163,82.7
133,173,162
186,96.6,106
203,106,79.4
103,87.8,203
131,158,186
165,131,113
137,90.6,116
103,106,109
162,123,93.5
113,168,148
75.8,164,100
158,151,79.3
179,137,127
133,141,121
96.6,110,160
162,93.5,143
155,106,137
79.3,115,89.6
174,106,138
173,93.7,106
106,143,166
162,150,126
96.5,150,100
103,145,113
112,93.1,168
166,90,96.8
137,158,166
148,155,86.2
126,118,135
146,167,148
133,129,110
130,100,96.8
138,90.6,146
168,120,151
100,151,137
109,76.6,100
109,126,100
97.1,175,100
109,135,143
100,174,156
115,170,116
72.4,153,103
110,145,168
131,143,86.6
168,167,100
120,153,141
96.6,158,138
165,154,75.8
96.5,148,109
129,140,93.3
148,155,106
106,96.5,93.9
87,96.6,103
153,90.3,83.8
146,100,143
93.1,141,120
176,120,82.7
160,154,109
120,132,73.3
76.6,86.2,186
174,120,100
96.7,79.3,103
141,162,141
145,145,172
100,140,133
163,172,141
96.6,130,96.7
106,143,186
165,126,153
154,93.1,166
89.6,106,143
67.7,143,155
81.2,119,133
113,70,155
126,89.6,110
93.3,83.3,112
133,73.3,156
86.2,96.5,151
138,80.6,130
126,115,93.1
123,125,145
148,143,166
82.7,106,193
124,170,176
130,170,190
126,158,206
77.4,141,160
125,158,173
131,140,116
123,113,116
106,116,93.3
75.8,173,158
84.3,119,106
130,160,151
143,103,168
136,109,180
120,150,158
90,148,158
148,83.3,93.1
133,130,110
80.6,109,100
100,90.6,87.5
141,100,170
125,78.1,182
161,156,124
148,103,117
124,167,116
138,110,90.9
158,112,143
143,162,103
137,154,106
83.3,150,103
90.3,131,96.6
135,124,86.6
143,165,89.6
179,110,103
141,120,159
146,160,131
160,150,161
170,134,158
164,123,135
165,168,130
127,162,122
103,162,110
103,137,158
122,140,143
136,146,151
143,121,134
193,119,163
183,148,112
164,137,148
141,79.3,113
120,65.6,100
113,80.6,103
189,86.2,140
140,70.9,74.1
141,84.3,140
89.6,141,151
90.6,118,96.5
148,112,106
170,83.8,106
155,145,156
113,148,127
93.7,156,100
170,161,70
128,129,100
113,112,140
103,153,140
96.5,158,106
96.6,96.8,93.1
86.2,115,90.3
116,148,91.1
148,118,83.3
141,153,96.6
148,163,87.5
96.6,135,96.9
141,133,110
140,118,112
151,138,116
125,143,154
160,113,117
90.3,158,100
141,146,65.6
106,130,109
82.7,137,120
96.7,82.7,120
124,106,129
100,148,193
146,168,
126,125,
86.6,158,
131,155,
134,131,
134,109,
64.5,150,
86.6,,
162,,
109,,
93.5,,
150,,
136,,
73.3,,
74.1,,
121,,
82.7,,
144,,
110,,
168,,
83.3,,
179,,
155,,
83.3,,
119,,
90,,
90.3,,
164,,
87,,
110,,
141,,
150,,
96.6,,
67.7,,
90,,
83.3,,
158,,
145,,
148,,
