trial1,trial2,trial3
63.3,54.8,75
150,80.6,172
120,103,141
141,141,126
131,87.5,136
83.3,100,122
134,110,116
151,150,140
90.3,138,132
154,150,129
113,103,84.3
90.6,151,90.3
153,112,68.7
158,141,155
120,141,79.4
132,144,64.5
93.5,129,80.6
135,143,86.6
129,134,90.3
137,146,100
100,132,90.6
154,64.5,67.7
136,90,103
136,74.1,129
96.7,77.4,151
68.7,118,135
87.5,144,123
141,136,162
141,130,160
125,125,116
74.1,140,172
116,106,130
79.3,162,128
86.2,141,132
131,153,84.8
136,134,106
100,120,153
80.6,109,128
131,133,106
155,96.7,75
126,90,113
126,96.5,133
146,140,103
146,155,110
87.5,126,141
93.5,133,125
129,134,134
125,106,145
90.3,137,81.2
80.6,120,78.1
70.9,116,110
90.9,144,100
150,143,86.2
112,148,86.2
120,122,61.2
93.5,81.2,64.5
93.5,90,93.3
86.6,106,65.6
70.9,165,90.3
106,148,72.4
71.8,87.5,87.5
80,100,58.6
90,83.8,66.6
109,112,54.8
103,90.3,35.4
113,86.6,48.4
83.3,80.6,30
53.1,77.4,68.9
45.1,106,70
77.4,110,43.3
100,83.3,41.9
54.8,116,73.3
86.2,100,48.3
80.6,46.8,61.2
61.2,83.3,96.7
45.1,52.9,80.6
70,67.7,50
83.8,64.5,55.1
76.6,67.7,89.6
53.1,120,103
125,86.2,51.6
74.1,127,96.7
96.6,96.6,120
54.8,79.3,83.3
67.7,60,50
51.6,79.3,100
54.8,70.9,86.2
46.6,75,87
82.7,45.4,75.8
90.3,112,54.8
70,40.6,90.3
100,96.5,77.4
74.1,137,90
53.1,103,121
110,90,82.7
83.8,83.3,103
90.3,83.3,87
54.8,109,100
66.6,87,90.3
117,79.3,80.6
110,38.7,100
116,83.3,96.5
103,70.9,77.4
117,63.3,106
48.2,57.5,90
83.3,61.2,113
60,90,83.3
63.3,106,54.8
46.6,55.1,93.1
75.8,40,46.6
122,60,51.5
93.1,53.3,86.2
56.6,43.7,51.7
93.1,67.7,87
56.6,48.2,93.1
40,59.3,53.3
61.2,100,68.7
62,93.3,56.2
66.6,75.8,67.7
48.4,100,53.3
60,83.8,86.2
58,90.3,106
127,135,143
100,113,150
141,106,119
144,131,146
168,109,123
140,58.8,96.5
133,100,83.8
143,106,90.3
144,141,96.7
141,119,109
135,153,120
145,150,153
138,150,143
155,177,116
93.9,156,129
119,173,112
141,100,86.6
136,158,148
141,138,112
138,154,153
77.4,138,165
100,150,143
138,165,126
163,173,113
141,150,130
106,135,134
162,182,137
162,153,140
125,134,143
119,90.3,110
97,82.7,135
86.6,148,136
106,154,138
120,148,170
145,164,103
170,155,163
135,150,141
193,170,94.1
146,141,93.5
160,145,151
79.3,158,134
141,120,75.7
154,151,112
116,140,71.8
126,126,150
84.8,100,129
112,128,170
140,80,136
128,162,140
126,86.6,131
167,124,113
122,100,132
90.6,90.9,150
96.6,120,103
100,151,129
96.7,113,158
83.3,66.6,135
119,136,115
90,100,126
81.2,87.8,87.8
141,110,110
141,93.5,90.3
106,103,127
158,130,103
156,69.6,138
168,100,135
162,110,164
118,115,158
180,160,140
156,160,133
163,106,138
174,100,125
148,96.7,143
166,106,103
144,117,112
63.6,145,70
113,106,61.2
83.3,109,103
165,120,148
113,116,119
136,87.5,133
148,74.1,156
145,71.8,116
106,71.8,141
76.6,103,116
93.7,134,75.8
116,125,72.4
93.5,79.3,73.3
151,82.7,80.6
155,76.6,96.5
156,129,129
90,123,68.7
93.3,86.6,87.5
96.6,77.4,100
140,58,65.5
136,100,116
160,124,79.3
130,133,90
115,121,58
93.5,97,75.8
160,106,83.8
137,93.1,70.9
106,83.3,148
113,58,140
127,90.6,143
150,100,140
153,100,87.5
90,93.1,96.8
83.3,172,86.2
86.2,90.3,90
96.6,93.1,116
76.6,103,145
143,155,135
145,73.5,141
141,78.1,168
112,78.7,158
145,123,148
154,103,136
117,156,170
160,134,163
119,144,160
148,110,140
136,103,151
100,131,143
112,86.6,150
146,134,161
190,156,130
158,86.2,146
173,116,146
165,140,80.6
105,90.3,74.1
93.7,116,96.7
67.7,151,136
141,113,150
93.9,129,153
119,96.7,112
78.7,163,137
136,96.6,116
140,135,93.5
158,81.2,83.8
93.5,81.2,112
155,144,126
131,128,135
129,165,126
106,122,141
112,137,153
116,145,113
137,170,68.9
168,183,90
148,87,83.8
165,83.8,77.4
137,103,96.6
110,74.1,93.1
127,141,100
153,116,77.4
179,110,96.6
151,140,96.5
189,120,71.8
79.4,87.5,60.6
115,125,96.7
138,84.8,71.8
165,93.3,116
106,131,117
106,133,65.5
112,125,71.8
90,141,82.7
72.4,129,62.5
137,131,87
125,73.3,86.6
120,100,100
93.1,93.5,75.8
170,160,83.8
112,143,127
112,90.3,118
112,141,90.6
113,143,58.6
44.8,141,62
40,110,63.3
67.7,82.7,54.8
48.3,67.7,93.1
54.8,41.9,93.5
80,96.6,90.3
106,89.6,90.3
86.6,56.6,119
100,37.5,103
86.6,60,96.7
100,62,56.6
80.6,41.3,48.3
96.6,53.3,54.8
76.6,58,48.3
70,62,80.6
76.6,56.6,53.3
48.3,93.1,106
38.7,44.8,80
96.5,51.6,70
86.6,80,59.3
63.3,100,80
93.1,90.3,64.5
87,90.3,56.2
86.6,110,117
68.9,55.1,65.5
103,59.3,48.2
96.6,83.3,59.3
93.3,93.1,79.3
80.6,110,90.3
93.3,58,58.6
81.2,100,46.8
70.9,83.3,70.9
90,100,68.9
93.3,70,117
106,96.7,51.7
59.3,93.3,90.3
103,106,62
100,51.7,41.3
65.5,80.6,96.6
63.3,89.6,90.3
41.3,53.3,96.7
32.2,46.6,116
113,62,83.8
59.3,74.1,84.3
82.7,87,41.3
61.2,100,38.7
100,96.6,87
96.6,100,87
86.2,66.6,55.1
106,46.6,53.3
96.6,89.6,41.9
100,90.3,58
93.3,96.7,113
83.8,74.1,76.6
93.7,71.8,90.3
75.8,83.3,37.9
53.3,103,97
175,89.6,148
170,116,120
164,43.3,86.2
148,59.3,136
153,35.4,134
203,80,193
155,193,173
155,190,165
93.3,200,160
136,193,172
129,174,143
220,186,128
206,206,175
177,196,183
112,196,145
103,179,206
106,170,186
138,134,200
176,140,140
173,189,136
183,203,126
193,167,116
200,187,93.7
173,151,182
176,100,158
165,163,196
145,175,206
172,165,220
190,220,190
160,159,196
193,206,137
236,145,123
156,170,151
154,183,148
151,151,100
140,109,112
119,170,151
159,162,179
144,210,153
193,146,193
140,200,164
162,186,127
136,196,116
251,154,148
168,187,124
158,176,186
110,190,158
134,183,170
130,200,178
227,163,182
170,224,127
181,163,96.5
133,186,151
146,138,103
138,179,135
145,170,182
119,156,137
231,155,131
160,193,126
145,183,82.7
103,186,100
106,210,81.2
76.6,156,126
80,193,106
86.6,168,122
145,103,89.6
86.2,86.6,74.1
162,83.3,75
150,126,148
181,136,100
115,146,113
158,132,119
132,79.3,129
154,143,116
155,96.5,68.9
106,103,124
122,168,103
106,74.1,151
93.7,110,135
79.3,162,158
75.8,84.8,137
93.1,162,110
131,164,159
158,167,117
134,79.3,113
145,135,123
120,148,96.5
143,70.9,96.5
113,96.9,130
200,155,122
136,145,116
160,133,86.2
144,82.7,148
176,144,106
143,151,148
176,117,126
113,150,80
96.8,96.6,155
113,110,123
106,136,82.7
123,141,89.6
143,79.3,151
110,123,116
138,75.8,124
150,70,123
110,109,113
93.1,138,148
73.3,146,158
87,167,134
70.9,156,168
87,123,146
123,96.6,148
145,93.5,133
151,87.5,135
170,151,106
100,83.3,75.8
124,83.8,113
140,100,116
136,162,74.1
164,80.6,120
162,110,156
125,160,177
91.1,76.6,156
96.7,100,151
138,136,110
140,163,133
125,96.5,132
138,103,100
148,93.1,72.7
130,119,116
100,88.5,75
76.6,126,76.6
