trial1,trial2,trial3
48.2,46.6,45.1
58,33.3,36.6
40,60,37.5
63.3,53.3,33.3
60,29,58.6
51.7,50,36.6
46.6,58.6,32.2
41.3,37.9,64.5
55.1,27.5,70
61.2,36.6,55.1
31,45.1,43.3
56.6,67.7,27.5
90,19.3,26.6
48.2,56.6,36.3
39.3,60,45.1
48.3,66.6,36.6
38.7,25.8,24.1
58.6,31,23.3
45.1,29,23.3
44.8,53.3,26.6
63.3,35.4,30
40.6,37.9,48.3
68.9,61.2,37.9
68.9,54.8,12.9
37.9,44.8,31
41.9,43.3,29
32.2,45.1,40
63.3,34.4,73.3
48.2,46.8,48.3
48.2,53.3,62
50,48.3,30
53.3,46.6,41.9
86.6,46.6,46.6
33.3,62,40
58,46.6,59.3
60,51.7,50
50,34.4,31
50,48.2,53.3
60,60,65.5
36.6,50,40
30,60,40
51.7,44.8,35.4
50,37.9,32.2
48.3,58.6,48.2
36.6,41.9,60
41.3,70.9,54.8
40,82.7,36.6
48.2,44.8,33.3
56.6,32.2,40
46.6,40,44.8
43.3,51.7,46.6
50,56.6,50
58,41.9,41.3
29,33.3,51.6
32.2,44.8,46.6
55.1,74.1,53.3
51.7,55.1,41.9
53.3,46.6,54.8
30,37.9,54.8
64.5,43.3,36.6
40,32.2,51.7
48.2,44.8,36.6
35.4,60,36.6
44.8,58.6,40
86.2,50,35.4
44.8,48.3,32.2
50,62.5,36.6
31.2,40,54.8
40,48.3,38.7
56.6,53.1,43.7
61.2,56.6,45.1
30,50,38.7
32.2,56.6,33.3
58.6,38.7,41.3
51.6,60,48.3
60,36.6,72.4
43.3,29,51.7
44.8,83.3,63.3
53.3,54.8,48.3
86.2,46.6,51.6
48.3,35.4,58
50,53.3,48.2
41.3,37.9,41.3
25.8,38.7,34.4
26.6,51.6,35.4
35.4,70,55.1
33.3,55.1,50
31,62,51.7
62,58,48.2
62,50,41.9
60,41.3,35.4
66.6,36.6,54.8
33.3,55.1,58.6
64.5,38.7,68.9
73.3,50,56.6
45.1,70.9,44.8
33.3,50,54.8
55.1,31,33.3
51.6,51.7,43.3
30,53.3,55.1
48.3,63.3,38.7
36.6,40,46.6
40,43.3,43.7
41.3,36.6,46.8
38.7,48.3,60
50,64.5,70
53.3,45.1,67.7
33.3,56.6,43.3
40,40,30
37.9,41.3,51.7
44.8,41.9,30
63.3,30,35.4
46.6,67.7,30
43.3,36.6,41.9
40,40,29
48.2,43.7,32.2
50,28.1,46.6
53.3,53.3,43.7
65.5,65.5,37.9
53.3,56.6,46.6
36.6,66.6,30
60,53.3,58.6
30,43.3,29
40,48.3,65.5
53.3,31,32.2
60,30,38.7
51.6,32.2,55.1
40,37.9,45.1
34.4,68.9,46.6
31,56.6,31.2
29,32.2,46.6
43.3,37.5,48.2
46.6,50,48.2
34.3,76.6,40
46.6,24.1,75.8
56.6,31.2,55.1
