trial1,trial2,trial3,trial4,trial5
38.7,56.6,56.6,41.3,72.4
82.7,62,45.1,53.3,30
44.8,51.7,55.1,64.5,43.3
33.3,41.3,50,76.6,58.6
58.6,53.3,46.6,76.6,29
32.2,60,77.4,27.2,34.4
48.2,41.3,48.3,27.5,55.1
40,53.3,51.7,79.3,63.3
58.6,58,70,43.3,55.1
48.3,53.3,53.3,46.6,79.3
43.3,48.2,45.1,37.5,33.3
46.6,45.1,41.9,33.3,23.3
46.6,79.3,63.3,55.1,50
34.3,58,50,53.3,41.3
55.1,51.6,25.8,51.7,56.6
51.6,40,31,22.5,22.5
43.3,50,79.3,40,43.3
36.6,60,46.6,41.3,56.6
55.1,62,70,50,43.3
30,58.6,50,43.3,56.6
55.1,53.1,33.3,36.6,46.6
44.8,65.5,63.3,61.2,83.3
66.6,61.2,50,65.5,43.3
36.6,86.2,37.9,50,76.6
75.8,62,54.8,29,43.3
60,56.6,60,29,46.6
38.7,37.9,53.3,32.2,63.3
46.6,36.6,60,58.6,51.6
50,62,51.7,43.3,56.6
46.6,86.2,29,41.9,41.9
56.6,58.6,48.3,60,45.1
58.6,26.6,43.3,41.3,50
29,65.5,70,46.6,54.8
56.6,56.6,72.4,73.3,66.6
65.5,54.8,38.7,51.6,53.3
48.2,44.8,51.7,46.6,51.6
37.9,41.9,65.5,40,41.3
48.3,51.6,43.3,61.2,46.6
70,56.6,32.2,56.6,72.4
36.6,54.8,32.2,56.6,16.1
43.3,76.6,43.3,33.3,53.3
44.8,36.6,40,53.3,41.3
48.3,48.2,46.6,79.3,50
29,43.3,66.6,58,58.6
70.9,51.5,30,50,32.2
41.9,56.6,38.7,53.1,72.4
53.3,33.3,43.3,38.7,41.9
53.3,46.6,41.3,45.1,53.3
65.5,40,29,46.6,70
36.6,54.8,53.3,28.1,24.1
51.6,68.9,60,63.6,56.6
66.6,43.3,56.6,70,36.6
30,51.7,31.2,64.5,56.6
55.1,58.6,35.4,61.2,25.8
53.3,35.4,53.3,66.6,46.6
50,65.5,50,65.5,41.3
41.3,73.3,73.3,53.3,65.5
40.6,30,41.9,70,65.5
58.6,55.1,43.3,56.6,30
41.3,43.7,60,56.6,37.9
26.6,79.3,65.5,63.3,56.6
46.6,34.4,56.6,40,25.8
63.3,60,33.3,30,58
35.4,63.3,56.2,37.5,58.6
41.9,48.3,60,34.4,56.6
65.5,43.3,40,54.8,36.6
50,50,46.6,56.6,46.6
33.3,44.8,41.9,60,37.9
54.8,56.6,72.4,73.3,64.5
62,50,41.9,44.8,53.3
34.3,53.3,26.6,27.5,30
53.3,46.6,41.3,30,35.4
31,43.3,54.8,40,43.7
51.7,60,44.8,60,68.9
41.9,48.3,22.5,31,35.4
43.3,51.7,29,50,45.1
48.3,43.3,26.6,30,38.7
53.3,40,36.6,24.1,41.9
30,31.2,41.3,43.3,50
40,54.8,33.3,31,79.3
68.9,70,45.1,48.3,53.3
46.6,68.9,51.6,53.3,26.6
33.3,46.6,37.9,37.9,34.4
48.3,56.6,37.9,30.3,50
36.6,51.6,61.2,43.7,65.5
79.3,38.7,51.6,45.1,70
63.3,65.5,61.2,63.3,30
35.4,46.6,96.6,63.3,35.4
50,46.6,73.3,61.2,48.3
55.1,64.5,54.8,83.3,58.6
66.6,48.3,35.4,56.6,62
51.6,23.3,33.3,45.4,63.3
46.6,56.6,51.7,35.4,70
70.9,65.5,48.3,70,31
56.6,62,46.8,51.7,23.3
44.8,46.6,60,63.3,51.6
68.9,45.1,48.3,26.6,72.4
50,50,32.2,38.7,41.3
44.8,56.6,63.3,35.4,58.6
53.3,37.9,55.1,62,33.3
63.3,55.1,43.3,66.6,56.6
33.3,33.3,56.6,50,46.6
29,38.7,29,53.3,46.6
41.9,58.6,21.8,33.3,51.6
58.6,60,27.5,36.6,54.8
60,68.9,20.6,35.4,72.4
40,40,40,35.4,60
48.3,51.7,46.6,37.9,53.3
62,54.8,53.3,54.8,43.3
53.3,33.3,58,48.2,48.2
70.9,51.6,31,36.6,58.6
53.3,55.1,36.6,50,32.2
30,35.4,51.7,36.6,35.4
51.7,40,37.5,62,48.3
36.6,63.3,29,63.3,62
68.9,70,63.3,82.7,66.6
50,35.4,56.6,62,54.8
56.6,46.6,44.8,63.3,63.3
56.6,51.7,56.6,73.3,56.6
58.6,30,37.9,31,34.4
46.6,55.1,58,48.3,38.7
80,58.6,64.5,53.3,36.6
48.3,53.3,51.7,35.4,43.3
40,40,50,51.7,41.9
45.1,56.6,43.3,53.3,40
51.7,45.1,43.3,40,30
68.9,50,66.6,70,51.7
43.3,41.3,58,50,29
70,48.3,33.3,46.8,41.3
43.3,60,41.3,40,34.4
56.6,56.6,54.8,29,35.4
46.6,62,35.4,67.7,46.6
37.9,58.6,60,41.3,50
53.3,48.3,68.9,43.3,44.8
55.1,32.2,51.7,58.6,76.6
45.1,80,53.3,43.3,41.3
51.7,43.3,40.6,45.1,33.3
62,41.9,56.6,66.6,41.9
53.3,32.2,77.4,20.6,31.2
35.4,50,58.6,46.6,56.6
46.6,55.1,30,76.6,40
60,51.6,58.6,44.8,36.6
40,79.3,36.6,35.4,36.6
51.7,34.3,56.6,70,40
62,46.6,46.6,48.2,60
55.1,43.3,66.6,60,44.8
30,66.6,75.8,83.8,51.7
30,70,31,56.6,43.3
45.1,50,36.6,45.1,56.6
66.6,34.4,58.6,26.6,50
53.3,51.7,46.6,48.3,56.6
51.7,41.3,61.2,35.4,64.5
53.3,51.6,63.3,72.4,43.7
65.5,62,36.6,61.2,38.7
75.8,30,33.3,30,63.3
36.6,43.3,50,46.6,50
38.7,33.3,66.6,82.7,41.3
50,64.5,25,34.4,60
53.3,53.1,56.6,43.3,58.6
30,50,38.7,79.3,53.3
75.8,58.6,46.6,65.5,29
58,38.7,83.3,33.3,23.3
32.2,37.9,48.2,26.6,86.2
65.5,35.4,48.2,31,37.9
54.8,51.6,51.6,58.6,46.6
41.3,48.2,33.3,45.1,50
44.8,63.3,54.5,38.7,62
63.3,63.3,66.6,76.6,72.4
55.1,37.9,62,53.3,55.1
40.6,58.6,56.6,38.7,
40.6,36.6,50,,
48.2,41.9,33.3,,
46.6,63.3,54.8,,
48.3,44.8,,,
,53.3,,,
,53.3,,,
,51.6,,,
,36.6,,,
